id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
70986,293,1,mei,12.9,9.8,4.9,9.8,,1.0,,1.0,,,,,,,
101832,294,1,mei,1.23,0.7,0.23,0.7,,,,1.0,,1.0,,,,,
79578,294,1,ata,2.46,-2.6,-3.54,-2.6,,,,,,1.0,,,,,
82634,294,1,mei,7.9,5.9,2.9,5.9,,,,,1.0,6.0,,3.0,,,
38509,262,1,gol,14.21,5.6,0.21,5.6,,,,,,9.0,,,2.0,,1.0
78478,262,1,mei,11.02,5.2,1.02,5.2,,,,,,3.0,,5.0,,,
73800,262,1,zag,9.2,0.7,-2.8,0.7,,,,,,3.0,,1.0,,,
51772,262,1,mei,6.89,4.5,1.89,4.5,,,1.0,,,7.0,,3.0,,,
38750,262,1,lat,3.84,-4.7,-6.16,-4.7,,,,,,12.0,,2.0,,,
105612,266,1,mei,2.39,0.3,-0.61,0.3,,,,,,2.0,,,,,
89493,282,1,zag,13.41,10.5,5.41,10.5,,,,,,5.0,,5.0,,,
38144,262,1,lat,7.68,2.6,-0.32,2.6,,,,,,9.0,,3.0,,,
37662,293,1,lat,12.18,9.8,5.18,9.8,1.0,,,,,2.0,,,,,
71479,293,1,mei,4.93,0.8,-1.07,0.8,,,,1.0,,,,,,,
50284,294,1,gol,6.02,1.3,-0.98,1.3,,,,,,7.0,,,1.0,,1.0
81585,293,1,mei,2.61,0.6,-0.39,0.6,,,,1.0,,7.0,,1.0,,,
90917,293,1,ata,3.12,0.3,-0.88,0.3,,,,,,2.0,,,,,
86508,293,1,gol,10.29,8.2,4.29,8.2,,,,,,8.0,,,1.0,,
91866,293,1,zag,6.96,5.6,2.96,5.6,,,,,,4.0,,1.0,,,
95494,293,1,zag,7.54,5.4,2.54,5.4,,,,,,1.0,,,,,
101960,293,1,ata,10.29,11.2,7.29,11.2,,1.0,1.0,,,5.0,,2.0,,,
105175,293,1,lat,5.8,5.0,2.8,5.0,,,,,,5.0,,,,,
104513,293,1,lat,7.39,7.2,4.39,7.2,,,,,,8.0,,3.0,,,
38140,354,1,gol,0.72,-6.6,-5.28,-6.6,,,,,,6.0,,,,,3.0
85931,282,1,mei,6.31,2.7,0.31,2.7,,,,,,3.0,,2.0,,,
68928,282,1,gol,11.74,7.2,2.74,7.2,,,,,,18.0,,,1.0,,
104459,354,1,ata,0.72,-1.1,-1.28,-1.1,,,,,,1.0,,,,,
88312,282,1,zag,8.48,5.7,2.48,5.7,,,,1.0,,1.0,,1.0,,,
87009,282,1,mei,7.39,3.2,0.39,3.2,,,,,,3.0,,5.0,,,
104125,354,1,ata,7.97,9.0,5.97,9.0,,1.0,,1.0,,3.0,,1.0,,,
87393,282,1,zag,7.83,2.8,-0.17,2.8,,,,,,2.0,,1.0,,,
86711,293,1,mei,3.26,-0.5,-1.74,-0.5,,,,,,,,,,,
96652,282,1,mei,8.04,3.1,0.04,3.1,,,,2.0,,5.0,,5.0,,,
97425,282,1,zag,8.99,7.4,3.99,7.4,,,,,,1.0,,2.0,,,
98672,282,1,ata,5.07,2.0,0.07,2.0,,,1.0,,,2.0,,1.0,,,
101319,282,1,lat,9.13,5.6,2.13,5.6,,,,,,9.0,,1.0,,,
101717,282,1,ata,5.51,0.6,-1.49,0.6,,,1.0,,,1.0,,,,,
38449,294,1,ata,3.26,0.5,-0.74,0.5,,,,,,,,,,,
42145,266,1,lat,5.29,1.3,-0.71,1.3,,,,,,12.0,,3.0,,,
62130,294,1,lat,2.25,-0.9,-1.75,-0.9,,,,,,9.0,,,,,
104085,285,1,zag,6.45,2.9,0.45,2.9,,,,,,11.0,,2.0,,,
107744,285,1,mei,0.72,-1.9,-1.28,-1.9,,,,1.0,,12.0,,1.0,,,
68696,354,1,ata,2.9,0.0,-1.1,0.0,,,,,,,,,,,
107543,292,1,lat,1.74,1.4,0.74,1.4,,,,,,1.0,,4.0,,,
73515,294,1,mei,5.15,2.1,0.15,2.1,,,,,,4.0,,2.0,,,
68895,266,1,ata,4.57,0.3,-1.43,0.3,,,,,,2.0,,,,,
98765,282,1,ata,3.41,2.7,1.41,2.7,,,1.0,,,5.0,,4.0,,,
69041,266,1,gol,6.38,0.8,-1.62,0.8,,,,,,12.0,,,1.0,,1.0
78635,294,1,lat,5.0,3.9,2.0,3.9,,,1.0,1.0,,11.0,,3.0,,,
107092,292,1,ata,2.54,1.5,0.54,1.5,,,,,,,,1.0,,,
73465,266,1,zag,4.78,1.6,-0.22,1.6,,,,,,9.0,,2.0,,,
82939,294,1,mei,4.86,0.7,-1.14,0.7,,,,,,8.0,,1.0,,,
81951,266,1,lat,2.17,-1.0,-1.83,-1.0,,,,1.0,,8.0,,1.0,,,
87477,356,1,ata,2.39,-0.7,-1.61,-0.7,,,,,,2.0,,,,,
84817,294,1,ata,3.91,0.4,-1.09,0.4,,,,,,6.0,,,,,
87747,266,1,mei,4.71,0.5,-1.29,0.5,,,,1.0,,8.0,,,,,
89883,266,1,mei,6.74,4.3,1.74,4.3,,,,1.0,,5.0,,4.0,,,
94718,294,1,ata,1.96,-0.3,-1.04,-0.3,,,,,,3.0,,2.0,,,
90569,266,1,mei,1.74,-1.6,-2.26,-1.6,,,,,,1.0,,1.0,,,
97925,294,1,zag,0.72,-1.9,-1.28,-1.9,,,,,,4.0,,1.0,,,
91708,266,1,zag,5.87,2.1,-0.13,2.1,,,,,,4.0,,2.0,,,
104075,294,1,zag,3.41,0.7,-0.59,0.7,,,,,,3.0,,1.0,,,
37798,354,1,ata,8.26,3.4,0.26,3.4,,,2.0,2.0,,6.0,,1.0,,,
104528,294,1,ata,2.25,0.1,-0.75,0.1,,,,,,4.0,,,,,
38162,266,1,ata,4.93,-0.2,-2.07,-0.2,,,,,,2.0,,,,,
42222,356,1,ata,5.07,1.0,-0.93,1.0,,,,,,5.0,,1.0,,,
103645,266,1,ata,5.58,0.7,-1.42,0.7,,,,,,3.0,,1.0,,,
101606,266,1,ata,7.1,3.8,1.1,3.8,,,1.0,,,4.0,,1.0,,,
78577,354,1,mei,4.13,-0.3,-1.87,-0.3,,,,,,3.0,,,,,
73384,354,1,lat,6.38,-0.2,-2.62,-0.2,,,,,,7.0,,3.0,,,
98740,266,1,ata,3.99,0.5,-1.01,0.5,,,,,,,,1.0,,,
72359,354,1,zag,5.94,1.2,-1.06,1.2,,,,,,3.0,,1.0,,,
107173,266,1,mei,2.75,0.8,-0.25,0.8,,,1.0,,,4.0,,3.0,,,
88427,356,1,mei,3.55,0.9,-0.45,0.9,,,,,,1.0,,1.0,,,
90309,356,1,ata,3.77,0.2,-1.23,0.2,,,,1.0,,1.0,,1.0,,,
91733,356,1,mei,2.9,-1.0,-2.1,-1.0,,,,,,,,1.0,,,
60791,356,1,mei,4.2,1.8,0.2,1.8,,,,1.0,,,,1.0,,,
101201,354,1,ata,7.39,8.2,5.39,8.2,,1.0,,,,3.0,,,,,
96382,356,1,zag,1.01,-4.6,-4.99,-4.6,,,,,,1.0,,1.0,,,
63172,356,1,zag,1.16,-2.4,-2.84,-2.4,,,,1.0,,2.0,,,,,
70934,356,1,zag,3.19,0.4,-0.81,0.4,,,,,,1.0,,,,,
71937,356,1,mei,3.48,-1.2,-2.52,-1.2,,,1.0,,,9.0,,1.0,,,
82628,356,1,lat,4.28,0.9,-0.72,0.9,,,,,,6.0,,1.0,,,
84339,356,1,lat,2.39,-1.7,-2.61,-1.7,,,,,,7.0,,,,,
84523,356,1,ata,5.22,3.2,1.22,3.2,,,1.0,1.0,,3.0,,1.0,,,
104502,293,1,mei,0.72,-3.5,-0.28,-3.5,,,,,,,,,,,
109426,280,1,lat,1.23,-0.3,-0.77,-0.3,,,1.0,,,5.0,,1.0,,,
79701,284,1,mei,6.09,2.4,0.09,2.4,,,,1.0,,4.0,,2.0,,,
38196,284,1,mei,5.65,-1.2,-3.35,-1.2,,,,,,7.0,,1.0,,,
62023,285,1,mei,5.0,-0.1,-2.0,-0.1,,,,,,1.0,,,,,
50317,284,1,zag,7.18,4.9,2.18,4.9,,,,,,1.0,,,,,
72362,285,1,mei,4.78,0.6,-1.22,0.6,,,,,,4.0,,2.0,,,
71844,285,1,mei,10.07,6.9,3.07,6.9,1.0,,,,,1.0,,2.0,,,
72079,284,1,lat,9.06,6.5,3.06,6.5,,,,,,10.0,,5.0,,,
77809,285,1,ata,5.29,2.3,0.29,2.3,,,1.0,1.0,,7.0,,1.0,,,
83266,285,1,mei,5.36,1.4,-0.64,1.4,,,,1.0,,4.0,,1.0,,,
80287,284,1,ata,5.0,0.9,-1.0,0.9,,,,,,1.0,,1.0,,,
81845,284,1,mei,6.52,2.0,-0.48,2.0,,,1.0,1.0,,10.0,,1.0,,,
95794,294,1,mei,4.13,2.7,1.13,2.7,,,,,,3.0,,4.0,,,
86841,285,1,mei,5.36,0.4,-1.64,0.4,,,,,,1.0,,,,,
83528,262,1,zag,4.64,-0.6,-2.36,-0.6,,,,,,6.0,,,,,
89256,262,1,mei,11.09,4.3,0.09,4.3,,,,1.0,,5.0,,3.0,,,
78435,262,1,ata,8.91,3.3,-0.09,3.3,,,,2.0,,3.0,,1.0,,,
96725,285,1,lat,13.19,12.2,7.19,12.2,,,1.0,1.0,,8.0,,8.0,,,
94583,262,1,ata,4.2,-3.2,-4.8,-3.2,,,,,,2.0,,,,,
87470,284,1,mei,3.12,0.3,-0.88,0.3,,,,,,2.0,,1.0,,,
91201,284,1,ata,7.97,3.0,-0.03,3.0,,,1.0,1.0,,5.0,,,,,
99392,262,1,ata,7.03,0.7,-1.97,0.7,,,,2.0,,4.0,,,,,
104593,284,1,mei,4.35,2.0,0.35,2.0,,,,,,,,2.0,,,
38913,266,1,mei,9.06,3.5,0.06,3.5,,,2.0,1.0,,17.0,,1.0,,,
101483,284,1,ata,1.45,1.0,0.45,1.0,,,,1.0,,3.0,,1.0,,,
81091,282,1,mei,5.73,0.9,-1.27,0.9,,,,,,1.0,,2.0,,,
105909,293,1,ata,7.68,8.6,5.68,8.6,1.0,,,,,4.0,,3.0,,,
38279,356,1,ata,6.16,0.5,-1.84,0.5,,,1.0,,,2.0,,,,,
73281,294,1,mei,3.55,-0.1,-1.45,-0.1,,,,,,1.0,,,,,
80393,354,1,mei,3.19,-0.6,-1.81,-0.6,,,,,,1.0,,2.0,,,
103446,356,1,ata,2.1,-0.1,-0.9,-0.1,,,,,,1.0,,,,,
81677,277,1,mei,7.39,-3.8,-6.61,-3.8,,,1.0,,,20.0,1.0,2.0,,,
62121,284,1,gol,9.57,8.2,4.57,8.2,,,,,,8.0,,,1.0,,
95799,280,1,ata,13.63,5.8,0.63,5.8,,,2.0,1.0,,9.0,,3.0,,,
68911,284,1,ata,12.76,9.6,4.76,9.6,,1.0,1.0,2.0,,12.0,,,,,
80853,284,1,zag,11.09,8.3,4.09,8.3,,,,1.0,,10.0,,5.0,,,
75295,285,1,ata,14.13,6.5,1.13,6.5,,1.0,,,,5.0,,,,,
83433,285,1,mei,10.51,-1.5,-5.49,-1.5,,,,,,10.0,,,,,
90444,285,1,lat,9.49,8.1,4.49,8.1,,,1.0,1.0,,14.0,,4.0,,,
95335,280,1,mei,6.45,1.9,-0.55,1.9,,,,2.0,,2.0,,1.0,,,
68952,277,1,ata,12.1,11.7,7.1,11.7,,1.0,1.0,,,5.0,,1.0,,,
93368,277,1,zag,11.16,3.4,-0.84,3.4,,,,,,6.0,,4.0,,,
106219,293,1,mei,0.72,-2.6,-0.28,-2.6,,,,,,1.0,,,,,
101708,277,1,lat,7.54,3.4,0.54,3.4,,,,,,11.0,,4.0,,,
62086,277,1,lat,8.12,4.2,1.12,4.2,,,1.0,1.0,,8.0,,3.0,,,
69040,277,1,gol,5.22,1.2,-0.78,1.2,,,,,,8.0,,,1.0,,1.0
86485,282,1,ata,12.18,-1.2,-5.82,-1.2,,,,,,2.0,,,,,
73974,277,1,mei,10.73,8.8,4.73,8.8,1.0,,,,,7.0,,3.0,,,
87228,282,1,lat,17.97,7.8,0.97,7.8,,,1.0,,,14.0,,4.0,,,
78415,277,1,ata,3.33,0.6,-0.67,0.6,,,1.0,,,1.0,,,,,
68872,285,1,gol,15.22,4.0,-1.78,4.0,,,,,,10.0,,,,,
78548,277,1,mei,4.2,-0.2,-1.8,-0.2,,,,,,2.0,,,,,
105902,285,1,mei,1.81,0.5,-0.19,0.5,,,,,,,,,,,
79113,285,1,zag,10.44,4.4,0.44,4.4,,,,,,6.0,,3.0,,,
84847,277,1,zag,4.42,1.1,-0.58,1.1,,,,,,4.0,,1.0,,,
72372,356,1,gol,2.54,-3.5,-4.46,-3.5,,,,,,10.0,,1.0,,,2.0
83257,262,1,ata,9.42,3.0,-0.58,3.0,,,,4.0,,7.0,,,,,
87863,262,1,mei,21.24,4.3,-3.76,4.3,,,1.0,2.0,,10.0,,2.0,,,
90285,262,1,ata,16.02,2.1,-3.98,2.1,,,,1.0,1.0,2.0,,2.0,,,
90768,280,1,zag,2.97,-0.9,-2.03,-0.9,,,,,,4.0,,,,,
94156,277,1,mei,7.83,1.8,-1.17,1.8,,,,,,7.0,,2.0,,,
69705,293,1,mei,14.86,3.5,-2.14,3.5,,,1.0,2.0,,3.0,,,,,
103445,277,1,ata,4.35,1.0,-0.65,1.0,,,,2.0,,1.0,,1.0,,,
38588,292,1,ata,14.21,15.6,10.21,15.6,,2.0,,,1.0,4.0,,,,,
63058,292,1,mei,5.65,1.8,-0.35,1.8,,,,1.0,,5.0,,2.0,,,
60969,292,1,lat,7.46,5.3,2.46,5.3,1.0,,,1.0,,10.0,,1.0,,,
89226,292,1,zag,5.0,1.9,0.0,1.9,,,,,,6.0,,2.0,,,
91664,292,1,zag,4.28,-0.1,-1.72,-0.1,,,,,,1.0,,2.0,,,
81121,292,1,mei,3.12,0.3,-0.88,0.3,,,,,,2.0,,1.0,,,
82876,292,1,mei,4.57,3.3,1.57,3.3,,,,,,7.0,,5.0,,,
98034,292,1,gol,4.71,2.5,0.71,2.5,,,,,,15.0,,,2.0,,2.0
86391,292,1,lat,8.19,4.3,1.19,4.3,,,,,,7.0,,4.0,,,
90846,354,1,zag,4.13,-0.3,-1.87,-0.3,,,,,,3.0,,,,,
84428,354,1,mei,7.1,6.8,4.1,6.8,1.0,,1.0,2.0,,10.0,,3.0,,,
88423,280,1,lat,8.99,7.4,3.99,7.4,,,,,,6.0,,9.0,,,
53148,280,1,ata,6.09,1.4,-0.91,1.4,,,,2.0,,2.0,,,,,
97867,280,1,zag,4.78,1.6,-0.22,1.6,,,,,,4.0,,2.0,,,
90061,354,1,lat,7.25,3.0,0.25,3.0,,,,,,10.0,,4.0,,,
96340,354,1,mei,5.58,1.7,-0.42,1.7,,,,,,3.0,,,,,
96342,354,1,mei,4.49,2.2,0.49,2.2,,,,,,3.0,,3.0,,,
97461,280,1,ata,1.38,-0.1,-0.62,-0.1,,,,,,1.0,,,,,
104217,292,1,mei,2.9,0.0,-1.1,0.0,,,,,,,,,,,
62024,280,1,lat,3.33,0.6,-0.67,0.6,,,,,,14.0,,2.0,,,
101715,280,1,ata,4.2,0.8,-0.8,0.8,,,1.0,1.0,,2.0,,,,,
93882,280,1,gol,3.12,-2.7,-3.88,-2.7,,,,,,7.0,,,,,1.0
92630,280,1,ata,10.44,7.4,3.44,7.4,,1.0,,,,6.0,,,,,
103076,354,1,ata,5.36,3.4,1.36,3.4,,,1.0,,,3.0,,2.0,,,
85856,280,1,mei,3.7,3.1,1.7,3.1,,,,2.0,,5.0,,4.0,,,
86227,280,1,ata,3.33,-0.4,-1.67,-0.4,,,1.0,1.0,,14.0,,,,,
94857,292,1,mei,11.96,9.5,4.96,9.5,,1.0,,1.0,,3.0,,,,,
93637,280,1,mei,1.81,-0.5,-1.19,-0.5,,,,,,,,,,,
87342,284,1,zag,11.45,4.8,0.45,4.8,,,,,,2.0,,1.0,,,
39656,282,1,mei,3.91,-1.6,-3.09,-1.6,,,,,,6.0,,,,,
72386,292,1,ata,3.99,0.5,-1.01,0.5,,,,,,,,,,,
102292,292,1,ata,2.75,0.8,-0.25,0.8,,,,,,2.0,,1.0,,,
95352,284,1,lat,7.1,1.8,-0.9,1.8,,,,,,12.0,,1.0,,,
87258,277,1,ata,6.02,0.3,-1.98,0.3,,,,1.0,,10.0,,,,,
77544,373,2,mei,9.85,12.2,3.85,12.2,,1.0,,,,3.0,,4.0,,,
38394,293,2,zag,6.48,-0.4,-2.52,-0.4,,,,1.0,,2.0,,1.0,,,
106202,267,2,mei,2.91,-0.1,-1.09,-0.1,,,,,,1.0,,,,,
37662,293,2,lat,11.11,-1.8,-1.07,4.0,1.0,,,,,5.0,,1.0,,,
70986,293,2,mei,15.1,6.0,2.2,7.9,,1.0,,4.0,,4.0,,4.0,,,
69012,293,2,gol,6.15,-2.8,-3.85,-2.8,,,,,,8.0,,,,,1.0
90917,293,2,ata,5.5,7.0,2.38,3.65,,1.0,,,,2.0,,,,,
60858,373,2,mei,1.69,-1.2,-1.31,-1.2,,,,,,2.0,,,,,
62129,293,2,mei,4.01,0.7,-0.99,0.7,,,,,,3.0,,1.0,,,
71479,293,2,mei,4.93,0.0,0.0,0.8,,,,1.0,,,,,,,
87258,277,2,ata,4.18,-0.8,-1.84,-0.25,,,,1.0,,13.0,,,,,
86508,293,2,gol,10.29,0.0,0.0,8.2,,,,,,8.0,,,1.0,,
95494,293,2,zag,7.54,0.0,0.0,5.4,,,,,,1.0,,,,,
73896,293,2,ata,3.65,-0.1,-1.35,-0.1,,,,,,1.0,,,,,
81585,293,2,mei,2.11,0.0,-0.5,0.3,,,,1.0,,7.0,,1.0,,,
101960,293,2,ata,18.99,18.2,8.7,14.7,1.0,2.0,2.0,1.0,1.0,13.0,,4.0,,,
78435,262,2,ata,7.16,-0.9,-1.75,1.2,,,,2.0,,12.0,,2.0,,,
102253,293,2,zag,4.07,2.5,0.07,2.5,1.0,,,,,5.0,,,,,
86391,292,2,lat,11.36,9.1,3.17,6.7,,,,,,21.0,,12.0,,,
91664,292,2,zag,4.51,3.1,0.23,1.5,,,,1.0,1.0,3.0,,2.0,,,
89226,292,2,zag,4.13,-0.3,-0.87,0.8,,,,1.0,,12.0,,2.0,,,
98034,292,2,gol,2.18,-4.6,-2.53,-1.05,,,,,,21.0,,,2.0,,4.0
68954,293,2,mei,3.92,0.5,-1.08,0.5,,,1.0,,,12.0,,,,,
80370,373,2,mei,6.37,7.7,2.37,7.7,1.0,,,,,3.0,,5.0,,,
91866,293,2,zag,6.96,0.0,0.0,5.6,,,,,,4.0,,1.0,,,
82773,373,2,zag,5.89,6.6,1.89,6.6,,,,,,4.0,,3.0,,,
90933,373,2,gol,9.36,16.1,6.36,16.1,,,,,,9.0,,,3.0,,
89815,373,2,mei,9.97,15.8,5.97,15.8,1.0,1.0,,1.0,,10.0,,2.0,,,
82758,373,2,ata,8.58,11.0,3.58,11.0,,1.0,1.0,,,2.0,,2.0,,,
87929,373,2,mei,3.18,0.5,-0.82,0.5,,,,,,,,,,,
87262,373,2,mei,3.8,1.9,-0.2,1.9,,,,,,1.0,,2.0,,,
91203,373,2,zag,4.92,6.1,1.92,6.1,,,,,,4.0,,1.0,,,
95127,373,2,lat,7.13,9.4,3.13,9.4,,,1.0,1.0,,16.0,,3.0,,,
38588,292,2,ata,14.28,-1.9,0.07,6.85,,2.0,,,1.0,8.0,,,,,
93790,373,2,mei,5.96,5.1,0.96,5.1,,,1.0,3.0,,5.0,,2.0,,,
97133,373,2,lat,4.6,3.7,0.6,3.7,,,,,,8.0,,1.0,,,
60969,292,2,lat,7.13,0.1,-0.33,2.7,1.0,,,2.0,,22.0,,3.0,,,
71640,292,2,ata,1.04,-6.0,-3.96,-6.0,,,,,,,,,,,
63058,292,2,mei,4.98,0.6,-0.67,1.2,,,1.0,1.0,,11.0,,4.0,,,
105175,293,2,lat,5.8,0.0,0.0,5.0,,,,,,5.0,,,,,
104513,293,2,lat,8.88,2.9,1.49,5.05,,,,1.0,,17.0,,6.0,,,
82876,292,2,mei,4.09,-0.6,-0.48,1.35,,,,,,13.0,,5.0,,,
81121,292,2,mei,3.12,0.0,0.0,0.3,,,,,,2.0,,1.0,,,
93368,277,2,zag,8.68,-1.3,-2.48,1.05,,,,1.0,,12.0,,6.0,,,
38229,282,2,lat,4.73,-1.0,-2.27,-1.0,,,,,,,,,,,
61033,265,2,mei,17.4,10.9,0.4,10.9,,1.0,1.0,1.0,,6.0,,,,,
92182,265,2,zag,8.53,5.9,0.53,5.9,,,,,,1.0,,1.0,,,
69940,263,2,mei,4.75,0.7,-1.25,0.7,,,,,,8.0,,2.0,,,
38140,354,2,gol,3.82,11.8,3.1,2.6,,,,,,8.0,,,4.0,,4.0
82634,294,2,mei,7.32,-0.6,-0.58,2.65,,,,2.0,1.0,13.0,,3.0,,,
50284,294,2,gol,3.86,-2.2,-2.16,-0.45,,,,,,9.0,,,1.0,,2.0
74061,263,2,gol,13.44,5.3,-1.56,5.3,,,,,,7.0,,,2.0,,1.0
51772,262,2,mei,6.11,-0.7,-0.78,1.9,,,1.0,,,9.0,,3.0,,,
38144,262,2,lat,6.05,-0.9,-1.63,0.85,,,,,,13.0,,6.0,,,
42234,264,2,gol,10.96,4.7,-1.04,4.7,,,,,,13.0,,,3.0,,3.0
79578,294,2,ata,0.74,-3.1,-1.72,-2.85,,,1.0,,,4.0,,,,,
73800,262,2,zag,8.65,3.7,-0.55,2.2,,,,2.0,,7.0,,4.0,,,
78478,262,2,mei,9.6,-0.2,-1.42,2.5,,,,,,5.0,,6.0,,,
101708,277,2,lat,6.8,0.5,-0.74,1.95,,,,,,16.0,,5.0,,,
38750,262,2,lat,2.78,3.0,-1.06,-0.85,,,,,,22.0,,6.0,,,
38509,262,2,gol,9.28,-6.5,-4.93,-0.45,,,,,,9.0,,,3.0,,4.0
78086,262,2,gol,3.65,-0.1,-1.35,-0.1,,,,,,1.0,,,,,
78248,262,2,zag,5.52,-0.9,-2.48,-0.9,,,,,,4.0,,,,,
99392,262,2,ata,7.03,0.0,0.0,0.7,,,,2.0,,4.0,,,,,
62086,277,2,lat,6.58,-1.5,-1.54,1.35,,,1.0,1.0,,18.0,,3.0,,,
69040,277,2,gol,5.94,3.9,0.72,2.55,,,,,,9.0,,,3.0,,3.0
101716,292,2,mei,4.21,4.5,1.21,4.5,,,1.0,1.0,,5.0,,3.0,,,
83528,262,2,zag,3.65,0.9,-0.99,0.15,,,,,,12.0,,1.0,,,
89256,262,2,mei,11.87,5.4,0.78,4.85,,,,2.0,,9.0,,9.0,,,
73974,277,2,mei,12.18,3.7,1.45,6.25,1.0,,,,,10.0,,7.0,,,
78415,277,2,ata,3.33,0.0,0.0,0.6,,,1.0,,,1.0,,,,,
78548,277,2,mei,4.2,0.0,0.0,-0.2,,,,,,2.0,,,,,
78077,277,2,lat,4.26,-0.4,-1.74,-0.4,,,,,,4.0,,,,,
94583,262,2,ata,1.67,-1.1,-2.53,-2.15,,,,,,3.0,,,,,
52253,282,2,zag,7.36,1.6,-1.64,1.6,,,,,,9.0,,2.0,,,
38279,356,2,ata,4.66,-0.1,-1.5,0.2,,,1.0,,,3.0,,,,,
38913,266,2,mei,7.82,0.2,-1.24,1.85,,,2.0,2.0,,28.0,,2.0,,,
74140,265,2,ata,6.11,2.1,-0.89,2.1,,,1.0,,,6.0,,,,,
84847,277,2,zag,4.26,1.5,-0.16,1.3,,,,,,9.0,,2.0,,,
72372,356,2,gol,1.73,2.0,-0.81,-0.75,,,,,,15.0,,1.0,1.0,,3.0
93377,277,2,mei,4.5,1.8,-0.5,1.8,,,,,,2.0,,2.0,,,
94156,277,2,mei,6.59,0.6,-1.24,1.2,,,,,,11.0,,3.0,,,
79035,277,2,zag,4.39,-0.1,-1.61,-0.1,,,,,,1.0,,,,,
73620,276,2,zag,10.51,3.7,-1.49,3.7,,,,,,3.0,,1.0,,,
81091,282,2,mei,6.81,5.2,1.08,3.05,,,,,,4.0,,7.0,,,
103446,356,2,ata,1.48,-0.1,-0.62,-0.1,,,,2.0,,8.0,,,,,
72018,276,2,gol,15.76,12.2,1.76,12.2,,,,,,8.0,,,2.0,,
73421,290,2,zag,4.63,-2.9,-3.37,-2.9,,,,1.0,,7.0,,,,,
91573,276,2,zag,11.61,4.5,-1.39,4.5,,,,,,5.0,,,,,
70116,267,2,mei,11.52,19.3,7.52,19.3,,2.0,1.0,,1.0,4.0,,2.0,,,
62121,284,2,gol,9.57,0.0,0.0,8.2,,,,,,8.0,,,1.0,,
101718,267,2,mei,2.13,-0.2,-0.87,-0.2,,,,,,2.0,,,,,
100290,292,2,ata,2.23,1.7,0.23,1.7,,,,,,3.0,,,,,
90444,285,2,lat,10.74,3.0,1.25,5.55,,,1.0,2.0,,22.0,,7.0,,,
85931,282,2,mei,14.69,20.8,8.38,11.75,,2.0,1.0,,,7.0,,6.0,,,
104578,277,2,ata,2.84,1.4,-0.16,1.4,,,,,,1.0,,1.0,,,
103445,277,2,ata,3.6,0.2,-0.75,0.6,,,,3.0,,2.0,,3.0,,,
72620,276,2,lat,7.9,7.8,1.9,7.8,,,,,,2.0,,2.0,,,
68928,282,2,gol,8.81,-4.5,-2.93,1.35,,,,,,23.0,,,1.0,,2.0
69138,276,2,ata,8.8,1.5,-2.2,1.5,,,,4.0,,2.0,,,,,
68911,284,2,ata,12.76,0.0,0.0,9.6,,1.0,1.0,2.0,,12.0,,,,,
87009,282,2,mei,10.94,10.2,3.55,6.7,,1.0,1.0,1.0,,6.0,,6.0,,,
100084,276,2,mei,4.24,-2.1,-2.76,-2.1,,,,,,1.0,,,,,
75295,285,2,ata,20.67,18.7,6.54,12.6,1.0,2.0,1.0,2.0,1.0,11.0,,2.0,,,
87393,282,2,zag,7.83,0.0,0.0,2.8,,,,,,2.0,,1.0,,,
100761,276,2,mei,4.55,-1.4,-2.45,-1.4,,,,,,9.0,,1.0,,,
80853,284,2,zag,11.09,0.0,0.0,8.3,,,,1.0,,10.0,,5.0,,,
88312,282,2,zag,10.22,5.1,1.74,5.4,,,,2.0,,8.0,,6.0,,,
83433,285,2,mei,9.59,5.1,-0.92,1.8,,,1.0,1.0,1.0,19.0,,3.0,,,
96652,282,2,mei,7.48,1.4,-0.56,2.25,,,,2.0,,6.0,,7.0,,,
42116,275,2,ata,11.09,0.0,-3.91,0.0,,,,,,,,,,,
70944,275,2,mei,9.57,-0.1,-3.43,-0.1,,,,,,11.0,,2.0,,,
97425,282,2,zag,8.99,0.0,0.0,7.4,,,,,,1.0,,2.0,,,
89493,282,2,zag,13.41,0.0,0.0,10.5,,,,,,5.0,,5.0,,,
72386,292,2,ata,2.43,-1.5,-1.56,-0.5,,,,,,,,,,,
68952,277,2,ata,15.16,6.2,3.06,8.95,,1.0,2.0,1.0,,8.0,,3.0,,,
86686,276,2,mei,8.83,4.9,-0.17,4.9,,,2.0,,,5.0,,3.0,,,
92981,265,2,mei,3.18,0.5,-0.82,0.5,,,,1.0,,3.0,,1.0,,,
72772,275,2,ata,11.77,8.2,0.77,8.2,,1.0,,1.0,,1.0,,,,,
94968,265,2,lat,7.16,7.8,2.16,7.8,,,2.0,,,11.0,,2.0,,,
94857,292,2,mei,13.78,4.8,1.82,7.15,,1.0,1.0,4.0,,11.0,,,,,
98672,282,2,ata,4.61,0.6,-0.46,1.3,,,2.0,,,8.0,,2.0,,,
93791,265,2,mei,3.76,1.8,-0.24,1.8,,,,2.0,,3.0,,1.0,,,
94975,265,2,mei,2.17,-0.1,-0.83,-0.1,,,,,,1.0,,,,,
101319,282,2,lat,14.22,13.1,5.09,9.35,1.0,,1.0,1.0,,18.0,,8.0,,,
